定数,曲目名称,难度
12,Testify,BYD
11.9,Designant.,BYD
11.7,Tempestissimo,BYD
11.6,Arcana Eden,BYD
11.5,Aether Crest: Astral,ETR
11.5,Pentiment,BYD
11.4,Lament Rain,BYD
11.3,ALTER EGO,ETR
11.3,Extradimensional Cosmic Phenomenon,ETR
11.3,Axium Crisis,BYD
11.3,Abstruse Dilemma,FTR
11.3,Arghena,FTR
11.2,PRAGMATISM,BYD
11.2,Vicious Heroism,BYD
11.2,Aegleseeker,FTR
11.1,World Ender,BYD
11.1,Grievous Lady,FTR
11.1,Fracture Ray,FTR
11.1,＃1f1e33,FTR
11,Undying Macula,ETR
11,SAIKYO STRONGER,FTR
11,LAMIA,FTR
10.9,ViRTUS,ETR
10.9,MEGALOVANIA (Camellia Remix),ETR
10.9,We're All Gonna Die,ETR
10.9,"Welcome, Queen of Fiction.",ETR
10.9,Code: Oblivion,ETR
10.9,"Infinite Strife,",BYD
10.9,Einherjar Joker,BYD
10.9,Breach of Faith,BYD
10.9,Nhelv,BYD
10.9,Heavenly caress,BYD
10.9,Misdeed -la bonté de Dieu et l'origine du mal-,FTR
10.9,Testify,FTR
10.9,TEmPTaTiON,FTR
10.9,CHAOS,FTR
10.9,Vulcānus,FTR
10.9,And Revive The Melody,FTR
10.9,Designant.,FTR
10.9,DA'AT -The First Seeker of Souls-,FTR
10.8,Distorted Fate,ETR
10.8,Désive,ETR
10.8,Nightmare,ETR
10.8,Lilly,ETR
10.8,ANDORXOR,ETR
10.8,MARENYX,ETR
10.8,Heavensdoor,BYD
10.8,Ringed Genesis,FTR
10.8,Dantalion,FTR
10.8,BUCHiGiRE Berserker,FTR
10.8,Ω4,FTR
10.8,Divine Light of Myriad,FTR
10.8,GENOCIDER,FTR
10.8,Stasis,FTR
10.8,PRIMITIVE LIGHTS,FTR
10.8,Spider's Thread,FTR
10.8,͟͝͞Ⅱ́̕,FTR
10.8,TeraVolt,FTR
10.8,Meta-Mysteria,FTR
10.8,Black MInD,FTR
10.7,Inverted World,ETR
10.7,Don't Fight The Music,ETR
10.7,Xterfusion,ETR
10.7,Signal,ETR
10.7,Ouroboros -twin stroke of the end-,FTR
10.7,Cyaegha,FTR
10.7,World Vanquisher,FTR
10.7,Tempestissimo,FTR
10.7,AMAZING MIGHTYYYY!!!!,FTR
10.7,REKKA RESONANCE,FTR
10.7,NULL APOPHENIA,FTR
10.7,KYOREN ROMANCE,FTR
10.7,AlterGate,FTR
10.6,Dies irae,ETR
10.6,Subsphere in Eclosion,ETR
10.6,Trappola bewitching,BYD
10.6,Purple Verse,BYD
10.6,Axium Crisis,FTR
10.6,Cyanine,FTR
10.6,Corps-sans-organes,FTR
10.6,AttraqtiA,FTR
10.6,Overwhelm,FTR
10.6,Seclusion,FTR
10.6,Live Fast Die Young,FTR
10.6,"Good bye, Merry-Go-Round.",FTR
10.6,Crimson Throne,FTR
10.6,Manic Jeer,FTR
10.6,［X］,FTR
10.6,UNKNOWN LEVELS,FTR
10.6,Back to Basics,FTR
10.6,MVURBD,FTR
10.6,Lament Rain,FTR
10.6,Astral Quantization,FTR
10.6,Aether Crest: Astral,FTR
10.6,Extradimensional Cosmic Phenomenon,FTR
10.6,Desertrealm,FTR
10.5,Twilight Concerto,ETR
10.5,10pt8ion,ETR
10.5,Rain of Conflict in a Radiant Abyss,ETR
10.5,Straight into the lights,ETR
10.5,MEGALOVANIA,ETR
10.5,BlythE,ETR
10.5,CHAOSBLAST,ETR
10.5,Xxium and Purple haze,ETR
10.5,Paranoid Arc,ETR
10.5,Dropdead,BYD
10.5,Libertas,BYD
10.5,Be There,BYD
10.5,Singularity,FTR
10.5,Halcyon,FTR
10.5,GLORY：ROAD,FTR
10.5,GIMME DA BLOOD,FTR
10.5,Sheriruth (Laur Remix),FTR
10.5,Lightning Screw,FTR
10.5,Aurgelmir,FTR
10.5,Arcana Eden,FTR
10.5,Chronicle,FTR
10.5,Lucid Traveler,FTR
10.5,Rise of the World,FTR
10.5,Ego Eimi,FTR
10.5,XTREME,FTR
10.5,Eden,FTR
10.5,Wish Upon a Snow,FTR
10.5,Aleph-0,FTR
10.5,Judgement,FTR
10.5,ALTER EGO,FTR
10.5,Spirit of the Dauntless,FTR
10.5,Dull Blade,FTR
10.4,Dual Dependency,ETR
10.4,Eternity Break,ETR
10.4,No Way Back,ETR
10.4,INCARNATOR₀₀,ETR
10.4,The 'Raft' taught me: your heart will always find a way.,ETR
10.4,Melty Rhapsody,ETR
10.4,Singularity,BYD
10.4,IMPACT,BYD
10.4,Rays of Remnant,BYD
10.4,Saint or Sinner,BYD
10.4,Γuarδina,FTR
10.4,Garakuta Doll Play,FTR
10.4,Felis,FTR
10.4,Climax,FTR
10.4,Last Celebration,FTR
10.4,Kissing Lucifer,FTR
10.4,PUPA,FTR
10.4,Pentiment,FTR
10.4,To the Milky Way,FTR
10.4,Qovat,FTR
10.4,Lethal Voltage,FTR
10.4,MIRINAE,FTR
10.4,Placebo♥Battler,FTR
10.3,Dual Doom Deathmatch,ETR
10.3,8-EM,ETR
10.3,BREaK! BREaK! BREaK!,ETR
10.3,Zephyrlasting,ETR
10.3,OMAKENO Stroke,BYD
10.3,Party Vinyl,BYD
10.3,ENERGY SYNERGY MATRIX,BYD
10.3,Small Cloud Sugar Candy,BYD
10.3,Metallic Punisher,FTR
10.3,Ether Strike,FTR
10.3,Tiferet,FTR
10.3,Ikazuchi,FTR
10.3,IZANA,FTR
10.3,To: Alice Liddell,FTR
10.3,Viyella's Tears,FTR
10.3,"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",FTR
10.3,99 Glooms,FTR
